order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR33420301,"Tuesday, March 1, 2022",789420,25891301,23,"Thursday, March 3, 2022","Saturday, March 5, 2022",18,0,0,0
FMR33320501,"Tuesday, March 1, 2022",789320,25891301,46,"Thursday, March 3, 2022","Thursday, March 3, 2022",46,1,1,1
FMR33122301,"Tuesday, March 1, 2022",789122,25891301,29,"Thursday, March 3, 2022","Saturday, March 5, 2022",26,0,0,0
FMR34101301,"Tuesday, March 1, 2022",789101,25891301,76,"Friday, March 4, 2022","Friday, March 4, 2022",76,1,1,1
FMR33421301,"Tuesday, March 1, 2022",789421,25891301,75,"Thursday, March 3, 2022","Saturday, March 5, 2022",67,0,0,0
FMR34421301,"Tuesday, March 1, 2022",789421,25891301,47,"Friday, March 4, 2022","Friday, March 4, 2022",45,0,1,0
FMR34103403,"Tuesday, March 1, 2022",789103,25891301,71,"Friday, March 4, 2022","Friday, March 4, 2022",67,0,1,0
FMR32121301,"Tuesday, March 1, 2022",789121,25891301,72,"Wednesday, March 2, 2022","Thursday, March 3, 2022",65,0,0,0
FMR34203601,"Tuesday, March 1, 2022",789203,25891301,100,"Friday, March 4, 2022","Friday, March 4, 2022",100,1,1,1
FMR33402303,"Tuesday, March 1, 2022",789402,25891301,94,"Thursday, March 3, 2022","Thursday, March 3, 2022",94,1,1,1
FMR34221301,"Tuesday, March 1, 2022",789221,25891301,44,"Friday, March 4, 2022","Friday, March 4, 2022",44,1,1,1
FMR34202301,"Tuesday, March 1, 2022",789202,25891301,45,"Friday, March 4, 2022","Friday, March 4, 2022",45,1,1,1
FMR32522301,"Tuesday, March 1, 2022",789522,25891301,46,"Wednesday, March 2, 2022","Thursday, March 3, 2022",46,1,0,0
FMR34522403,"Tuesday, March 1, 2022",789522,25891301,47,"Friday, March 4, 2022","Saturday, March 5, 2022",38,0,0,0
FMR34520301,"Tuesday, March 1, 2022",789520,25891301,38,"Friday, March 4, 2022","Friday, March 4, 2022",34,0,1,0
FMR33301301,"Tuesday, March 1, 2022",789301,25891301,92,"Thursday, March 3, 2022","Thursday, March 3, 2022",83,0,1,0
FMR34303602,"Tuesday, March 1, 2022",789303,25891301,44,"Friday, March 4, 2022","Friday, March 4, 2022",40,0,1,0
FMR33220603,"Tuesday, March 1, 2022",789220,25891301,75,"Thursday, March 3, 2022","Thursday, March 3, 2022",75,1,1,1
FMR32422301,"Tuesday, March 1, 2022",789422,25891301,63,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",63,1,1,1
FMR33422301,"Tuesday, March 1, 2022",789422,25891301,63,"Thursday, March 3, 2022","Saturday, March 5, 2022",60,0,0,0
FMR34303602,"Tuesday, March 1, 2022",789303,25891102,352,"Friday, March 4, 2022","Friday, March 4, 2022",317,0,1,0
FMR34401102,"Tuesday, March 1, 2022",789401,25891102,369,"Friday, March 4, 2022","Thursday, March 3, 2022",369,1,1,1
FMR34520302,"Tuesday, March 1, 2022",789520,25891102,373,"Friday, March 4, 2022","Saturday, March 5, 2022",336,0,0,0
FMR32121102,"Tuesday, March 1, 2022",789121,25891102,397,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",377,0,1,0
FMR33902203,"Tuesday, March 1, 2022",789902,25891102,494,"Thursday, March 3, 2022","Thursday, March 3, 2022",395,0,1,0
FMR34902102,"Tuesday, March 1, 2022",789902,25891102,465,"Friday, March 4, 2022","Saturday, March 5, 2022",465,1,0,0
FMR32503401,"Tuesday, March 1, 2022",789503,25891102,459,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",367,0,1,0
FMR32720302,"Tuesday, March 1, 2022",789720,25891102,402,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",402,1,1,1
FMR33720202,"Tuesday, March 1, 2022",789720,25891102,483,"Thursday, March 3, 2022","Thursday, March 3, 2022",483,1,1,1
FMR34321602,"Tuesday, March 1, 2022",789321,25891102,368,"Friday, March 4, 2022","Friday, March 4, 2022",331,0,1,0
FMR32103503,"Tuesday, March 1, 2022",789103,25891102,307,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",246,0,1,0
FMR32421102,"Tuesday, March 1, 2022",789421,25891102,309,"Wednesday, March 2, 2022","Friday, March 4, 2022",278,0,0,0
FMR34421301,"Tuesday, March 1, 2022",789421,25891102,412,"Friday, March 4, 2022","Friday, March 4, 2022",391,0,1,0
FMR34320102,"Tuesday, March 1, 2022",789320,25891102,432,"Friday, March 4, 2022","Saturday, March 5, 2022",432,1,0,0
FMR32420102,"Tuesday, March 1, 2022",789420,25891102,310,"Wednesday, March 2, 2022","Saturday, March 5, 2022",310,1,0,0
FMR32702601,"Tuesday, March 1, 2022",789702,25891102,478,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",454,0,1,0
FMR34220601,"Tuesday, March 1, 2022",789220,25891102,473,"Friday, March 4, 2022","Friday, March 4, 2022",473,1,1,1
FMR34201202,"Tuesday, March 1, 2022",789201,25891102,372,"Friday, March 4, 2022","Friday, March 4, 2022",353,0,1,0
FMR32102102,"Tuesday, March 1, 2022",789102,25891102,496,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",496,1,1,1
FMR34122102,"Tuesday, March 1, 2022",789122,25891102,443,"Friday, March 4, 2022","Sunday, March 6, 2022",399,0,0,0
FMR33621102,"Tuesday, March 1, 2022",789621,25891102,480,"Thursday, March 3, 2022","Sunday, March 6, 2022",480,1,0,0
FMR32622502,"Tuesday, March 1, 2022",789622,25891502,153,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",138,0,1,0
FMR33622502,"Tuesday, March 1, 2022",789622,25891502,132,"Thursday, March 3, 2022","Thursday, March 3, 2022",132,1,1,1
FMR32420602,"Tuesday, March 1, 2022",789420,25891502,165,"Wednesday, March 2, 2022","Friday, March 4, 2022",157,0,0,0
FMR32201502,"Tuesday, March 1, 2022",789201,25891502,160,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",160,1,1,1
FMR33220603,"Tuesday, March 1, 2022",789220,25891502,211,"Thursday, March 3, 2022","Thursday, March 3, 2022",211,1,1,1
FMR33202502,"Tuesday, March 1, 2022",789202,25891502,141,"Thursday, March 3, 2022","Thursday, March 3, 2022",134,0,1,0
FMR33520502,"Tuesday, March 1, 2022",789520,25891502,173,"Thursday, March 3, 2022","Sunday, March 6, 2022",173,1,0,0
FMR34520503,"Tuesday, March 1, 2022",789520,25891502,143,"Friday, March 4, 2022","Monday, March 7, 2022",129,0,0,0
FMR33503502,"Tuesday, March 1, 2022",789503,25891502,238,"Thursday, March 3, 2022","Thursday, March 3, 2022",238,1,1,1
FMR34503502,"Tuesday, March 1, 2022",789503,25891502,231,"Friday, March 4, 2022","Thursday, March 3, 2022",231,1,1,1
FMR33401603,"Tuesday, March 1, 2022",789401,25891502,140,"Thursday, March 3, 2022","Thursday, March 3, 2022",133,0,1,0
FMR34401503,"Tuesday, March 1, 2022",789401,25891502,200,"Friday, March 4, 2022","Friday, March 4, 2022",200,1,1,1
FMR34721502,"Tuesday, March 1, 2022",789721,25891502,123,"Friday, March 4, 2022","Saturday, March 5, 2022",98,0,0,0
FMR34702502,"Tuesday, March 1, 2022",789702,25891502,239,"Friday, March 4, 2022","Friday, March 4, 2022",215,0,1,0
FMR33521502,"Tuesday, March 1, 2022",789521,25891502,167,"Thursday, March 3, 2022","Saturday, March 5, 2022",167,1,0,0
FMR33520502,"Tuesday, March 1, 2022",789520,25891403,359,"Thursday, March 3, 2022","Sunday, March 6, 2022",341,0,0,0
FMR33320501,"Tuesday, March 1, 2022",789320,25891403,239,"Thursday, March 3, 2022","Thursday, March 3, 2022",239,1,1,1
FMR34422403,"Tuesday, March 1, 2022",789422,25891403,265,"Friday, March 4, 2022","Sunday, March 6, 2022",252,0,0,0
FMR32903403,"Tuesday, March 1, 2022",789903,25891403,244,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",220,0,1,0
FMR32420403,"Tuesday, March 1, 2022",789420,25891403,397,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",318,0,1,0
FMR33101403,"Tuesday, March 1, 2022",789101,25891403,315,"Thursday, March 3, 2022","Thursday, March 3, 2022",283,0,1,0
FMR32202603,"Tuesday, March 1, 2022",789202,25891403,440,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",440,1,1,1
FMR34303602,"Tuesday, March 1, 2022",789303,25891403,427,"Friday, March 4, 2022","Friday, March 4, 2022",406,0,1,0
FMR32121403,"Tuesday, March 1, 2022",789121,25891403,441,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",441,1,1,1
FMR34522403,"Tuesday, March 1, 2022",789522,25891403,320,"Friday, March 4, 2022","Saturday, March 5, 2022",320,1,0,0
FMR34103403,"Tuesday, March 1, 2022",789103,25891403,467,"Friday, March 4, 2022","Friday, March 4, 2022",420,0,1,0
FMR32220503,"Tuesday, March 1, 2022",789220,25891403,465,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",372,0,1,0
FMR32622503,"Tuesday, March 1, 2022",789622,25891503,208,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",198,0,1,0
FMR34622602,"Tuesday, March 1, 2022",789622,25891503,241,"Friday, March 4, 2022","Friday, March 4, 2022",241,1,1,1
FMR33720503,"Tuesday, March 1, 2022",789720,25891503,146,"Thursday, March 3, 2022","Friday, March 4, 2022",146,1,0,0
FMR32220503,"Tuesday, March 1, 2022",789220,25891503,115,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",103,0,1,0
FMR33220603,"Tuesday, March 1, 2022",789220,25891503,239,"Thursday, March 3, 2022","Thursday, March 3, 2022",239,1,1,1
FMR34321602,"Tuesday, March 1, 2022",789321,25891503,246,"Friday, March 4, 2022","Friday, March 4, 2022",246,1,1,1
FMR32221603,"Tuesday, March 1, 2022",789221,25891503,158,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",158,1,1,1
FMR33221503,"Tuesday, March 1, 2022",789221,25891503,106,"Thursday, March 3, 2022","Thursday, March 3, 2022",101,0,1,0
FMR32103503,"Tuesday, March 1, 2022",789103,25891503,126,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",120,0,1,0
FMR33401603,"Tuesday, March 1, 2022",789401,25891503,161,"Thursday, March 3, 2022","Thursday, March 3, 2022",145,0,1,0
FMR34401503,"Tuesday, March 1, 2022",789401,25891503,192,"Friday, March 4, 2022","Friday, March 4, 2022",192,1,1,1
FMR34721503,"Tuesday, March 1, 2022",789721,25891503,144,"Friday, March 4, 2022","Friday, March 4, 2022",137,0,1,0
FMR33320503,"Tuesday, March 1, 2022",789320,25891503,140,"Thursday, March 3, 2022","Sunday, March 6, 2022",140,1,0,0
FMR34520503,"Tuesday, March 1, 2022",789520,25891503,233,"Friday, March 4, 2022","Monday, March 7, 2022",221,0,0,0
FMR32101601,"Tuesday, March 1, 2022",789101,25891503,183,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",183,1,1,1
FMR32422503,"Tuesday, March 1, 2022",789422,25891503,138,"Wednesday, March 2, 2022","Thursday, March 3, 2022",110,0,0,0
FMR34603302,"Tuesday, March 1, 2022",789603,25891103,378,"Friday, March 4, 2022","Friday, March 4, 2022",378,1,1,1
FMR34702602,"Tuesday, March 1, 2022",789702,25891103,480,"Friday, March 4, 2022","Thursday, March 3, 2022",432,0,1,0
FMR32601103,"Tuesday, March 1, 2022",789601,25891103,310,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",294,0,1,0
FMR34601402,"Tuesday, March 1, 2022",789601,25891103,388,"Friday, March 4, 2022","Friday, March 4, 2022",310,0,1,0
FMR33303501,"Tuesday, March 1, 2022",789303,25891103,335,"Thursday, March 3, 2022","Thursday, March 3, 2022",335,1,1,1
FMR32621103,"Tuesday, March 1, 2022",789621,25891103,431,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",431,1,1,1
FMR34621103,"Tuesday, March 1, 2022",789621,25891103,357,"Friday, March 4, 2022","Friday, March 4, 2022",339,0,1,0
FMR32501601,"Tuesday, March 1, 2022",789501,25891103,318,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",318,1,1,1
FMR33501401,"Tuesday, March 1, 2022",789501,25891103,400,"Thursday, March 3, 2022","Thursday, March 3, 2022",400,1,1,1
FMR34501203,"Tuesday, March 1, 2022",789501,25891103,327,"Friday, March 4, 2022","Friday, March 4, 2022",327,1,1,1
FMR34402202,"Tuesday, March 1, 2022",789402,25891103,340,"Friday, March 4, 2022","Friday, March 4, 2022",272,0,1,0
FMR32221603,"Tuesday, March 1, 2022",789221,25891103,430,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",430,1,1,1
FMR33522103,"Tuesday, March 1, 2022",789522,25891103,384,"Thursday, March 3, 2022","Friday, March 4, 2022",384,1,0,0
FMR33503502,"Tuesday, March 1, 2022",789503,25891103,325,"Thursday, March 3, 2022","Thursday, March 3, 2022",309,0,1,0
FMR33122301,"Tuesday, March 1, 2022",789122,25891103,403,"Thursday, March 3, 2022","Saturday, March 5, 2022",403,1,0,0
FMR34122103,"Tuesday, March 1, 2022",789122,25891103,458,"Friday, March 4, 2022","Thursday, March 3, 2022",458,1,1,1
FMR32401103,"Tuesday, March 1, 2022",789401,25891103,476,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",476,1,1,1
FMR34301103,"Tuesday, March 1, 2022",789301,25891103,351,"Friday, March 4, 2022","Sunday, March 6, 2022",351,1,0,0
FMR34902103,"Tuesday, March 1, 2022",789902,25891103,456,"Friday, March 4, 2022","Sunday, March 6, 2022",410,0,0,0
FMR32202603,"Tuesday, March 1, 2022",789202,25891103,389,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",370,0,1,0
FMR34721103,"Tuesday, March 1, 2022",789721,25891103,468,"Friday, March 4, 2022","Sunday, March 6, 2022",468,1,0,0
FMR33420203,"Tuesday, March 1, 2022",789420,25891103,357,"Thursday, March 3, 2022","Sunday, March 6, 2022",357,1,0,0
FMR34420402,"Tuesday, March 1, 2022",789420,25891103,325,"Friday, March 4, 2022","Saturday, March 5, 2022",325,1,0,0
FMR32321103,"Tuesday, March 1, 2022",789321,25891103,478,"Wednesday, March 2, 2022","Thursday, March 3, 2022",478,1,0,0
FMR33321602,"Tuesday, March 1, 2022",789321,25891103,465,"Thursday, March 3, 2022","Thursday, March 3, 2022",419,0,1,0
FMR32422401,"Tuesday, March 1, 2022",789422,25891103,317,"Wednesday, March 2, 2022","Friday, March 4, 2022",317,1,0,0
FMR34522601,"Tuesday, March 1, 2022",789522,25891601,181,"Friday, March 4, 2022","Monday, March 7, 2022",163,0,0,0
FMR32202603,"Tuesday, March 1, 2022",789202,25891601,125,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",119,0,1,0
FMR32702601,"Tuesday, March 1, 2022",789702,25891601,93,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",74,0,1,0
FMR33520601,"Tuesday, March 1, 2022",789520,25891601,182,"Thursday, March 3, 2022","Saturday, March 5, 2022",146,0,0,0
FMR32902601,"Tuesday, March 1, 2022",789902,25891601,93,"Wednesday, March 2, 2022","Thursday, March 3, 2022",88,0,0,0
FMR33103602,"Tuesday, March 1, 2022",789103,25891601,188,"Thursday, March 3, 2022","Thursday, March 3, 2022",150,0,1,0
FMR33201602,"Tuesday, March 1, 2022",789201,25891601,180,"Thursday, March 3, 2022","Thursday, March 3, 2022",171,0,1,0
FMR34622602,"Tuesday, March 1, 2022",789622,25891601,96,"Friday, March 4, 2022","Friday, March 4, 2022",91,0,1,0
FMR32101601,"Tuesday, March 1, 2022",789101,25891601,124,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",124,1,1,1
FMR34220601,"Tuesday, March 1, 2022",789220,25891601,78,"Friday, March 4, 2022","Friday, March 4, 2022",78,1,1,1
FMR34122601,"Tuesday, March 1, 2022",789122,25891601,68,"Friday, March 4, 2022","Monday, March 7, 2022",61,0,0,0
FMR33321601,"Tuesday, March 1, 2022",789321,25891601,157,"Thursday, March 3, 2022","Saturday, March 5, 2022",157,1,0,0
FMR33903601,"Tuesday, March 1, 2022",789903,25891601,93,"Thursday, March 3, 2022","Thursday, March 3, 2022",84,0,1,0
FMR34621601,"Tuesday, March 1, 2022",789621,25891601,170,"Friday, March 4, 2022","Monday, March 7, 2022",170,1,0,0
FMR32421601,"Tuesday, March 1, 2022",789421,25891601,108,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",103,0,1,0
FMR34421601,"Tuesday, March 1, 2022",789421,25891601,75,"Friday, March 4, 2022","Saturday, March 5, 2022",75,1,0,0
FMR33102601,"Tuesday, March 1, 2022",789102,25891601,180,"Thursday, March 3, 2022","Thursday, March 3, 2022",180,1,1,1
FMR33401603,"Tuesday, March 1, 2022",789401,25891203,429,"Thursday, March 3, 2022","Thursday, March 3, 2022",429,1,1,1
FMR32501601,"Tuesday, March 1, 2022",789501,25891601,139,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",139,1,1,1
FMR32603203,"Tuesday, March 1, 2022",789603,25891203,460,"Wednesday, March 2, 2022","Thursday, March 3, 2022",460,1,0,0
FMR34420402,"Tuesday, March 1, 2022",789420,25891402,353,"Friday, March 4, 2022","Saturday, March 5, 2022",353,1,0,0
FMR34401402,"Tuesday, March 1, 2022",789401,25891402,468,"Friday, March 4, 2022","Sunday, March 6, 2022",468,1,0,0
FMR34720402,"Tuesday, March 1, 2022",789720,25891402,472,"Friday, March 4, 2022","Saturday, March 5, 2022",448,0,0,0
FMR34721503,"Tuesday, March 1, 2022",789721,25891402,436,"Friday, March 4, 2022","Friday, March 4, 2022",414,0,1,0
FMR34601402,"Tuesday, March 1, 2022",789601,25891402,208,"Friday, March 4, 2022","Friday, March 4, 2022",208,1,1,1
FMR32520603,"Tuesday, March 1, 2022",789520,25891402,287,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",258,0,1,0
FMR33503502,"Tuesday, March 1, 2022",789503,25891402,450,"Thursday, March 3, 2022","Thursday, March 3, 2022",450,1,1,1
FMR32203402,"Tuesday, March 1, 2022",789203,25891402,488,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",488,1,1,1
FMR32902402,"Tuesday, March 1, 2022",789902,25891402,405,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",405,1,1,1
FMR33321602,"Tuesday, March 1, 2022",789321,25891402,283,"Thursday, March 3, 2022","Thursday, March 3, 2022",283,1,1,1
FMR33122402,"Tuesday, March 1, 2022",789122,25891402,460,"Thursday, March 3, 2022","Sunday, March 6, 2022",437,0,0,0
FMR34122402,"Tuesday, March 1, 2022",789122,25891402,256,"Friday, March 4, 2022","Friday, March 4, 2022",205,0,1,0
FMR34621601,"Tuesday, March 1, 2022",789621,25891402,220,"Friday, March 4, 2022","Monday, March 7, 2022",220,1,0,0
FMR32221402,"Tuesday, March 1, 2022",789221,25891402,384,"Wednesday, March 2, 2022","Thursday, March 3, 2022",384,1,0,0
FMR33221402,"Tuesday, March 1, 2022",789221,25891402,342,"Thursday, March 3, 2022","Friday, March 4, 2022",342,1,0,0
FMR32622402,"Tuesday, March 1, 2022",789622,25891402,309,"Wednesday, March 2, 2022","Thursday, March 3, 2022",247,0,0,0
FMR34622602,"Tuesday, March 1, 2022",789622,25891402,462,"Friday, March 4, 2022","Friday, March 4, 2022",439,0,1,0
FMR32202402,"Tuesday, March 1, 2022",789202,25891402,442,"Wednesday, March 2, 2022","Thursday, March 3, 2022",442,1,0,0
FMR34301602,"Tuesday, March 1, 2022",789301,25891201,308,"Friday, March 4, 2022","Friday, March 4, 2022",308,1,1,1
FMR33521201,"Tuesday, March 1, 2022",789521,25891201,487,"Thursday, March 3, 2022","Friday, March 4, 2022",463,0,0,0
FMR33401603,"Tuesday, March 1, 2022",789401,25891201,461,"Thursday, March 3, 2022","Thursday, March 3, 2022",461,1,1,1
FMR33320501,"Tuesday, March 1, 2022",789320,25891201,354,"Thursday, March 3, 2022","Thursday, March 3, 2022",354,1,1,1
FMR32321201,"Tuesday, March 1, 2022",789321,25891201,374,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",374,1,1,1
FMR34102602,"Tuesday, March 1, 2022",789102,25891201,440,"Friday, March 4, 2022","Friday, March 4, 2022",440,1,1,1
FMR32103503,"Tuesday, March 1, 2022",789103,25891201,112,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",101,0,1,0
FMR32501201,"Tuesday, March 1, 2022",789501,25891201,273,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",273,1,1,1
FMR34220601,"Tuesday, March 1, 2022",789220,25891201,378,"Friday, March 4, 2022","Friday, March 4, 2022",378,1,1,1
FMR34702502,"Tuesday, March 1, 2022",789702,25891201,156,"Friday, March 4, 2022","Friday, March 4, 2022",156,1,1,1
FMR34201201,"Tuesday, March 1, 2022",789201,25891201,291,"Friday, March 4, 2022","Saturday, March 5, 2022",233,0,0,0
FMR32622502,"Tuesday, March 1, 2022",789622,25891201,274,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",247,0,1,0
FMR34101201,"Tuesday, March 1, 2022",789101,25891201,489,"Friday, March 4, 2022","Saturday, March 5, 2022",489,1,0,0
FMR34520602,"Tuesday, March 1, 2022",789520,25891501,204,"Friday, March 4, 2022","Sunday, March 6, 2022",184,0,0,0
FMR33203603,"Tuesday, March 1, 2022",789203,25891501,104,"Thursday, March 3, 2022","Thursday, March 3, 2022",104,1,1,1
FMR34420501,"Tuesday, March 1, 2022",789420,25891501,210,"Friday, March 4, 2022","Sunday, March 6, 2022",210,1,0,0
FMR33403501,"Tuesday, March 1, 2022",789403,25891501,241,"Thursday, March 3, 2022","Thursday, March 3, 2022",229,0,1,0
FMR34121501,"Tuesday, March 1, 2022",789121,25891501,159,"Friday, March 4, 2022","Thursday, March 3, 2022",127,0,1,0
FMR34903603,"Tuesday, March 1, 2022",789903,25891501,136,"Friday, March 4, 2022","Friday, March 4, 2022",136,1,1,1
FMR33320501,"Tuesday, March 1, 2022",789320,25891501,249,"Thursday, March 3, 2022","Thursday, March 3, 2022",249,1,1,1
FMR32221603,"Tuesday, March 1, 2022",789221,25891501,140,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",140,1,1,1
FMR32101601,"Tuesday, March 1, 2022",789101,25891501,241,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",241,1,1,1
FMR33303501,"Tuesday, March 1, 2022",789303,25891501,105,"Thursday, March 3, 2022","Thursday, March 3, 2022",105,1,1,1
